Designator,Mid X,Mid Y,Rotation,Layer
C1,230.7125,-81.2425,180.0,top
C10,236.3,-97.5275,90.0,top
C11,215.47543,-89.0,270.0,top
C12,214.97543,-84.6,270.0,top
C13,242.025,-97.5275,90.0,top
C14,233.65,-99.8775,0.0,top
C15,216.55,-89.91,270.0,top
C16,232.65,-85.65,270.0,top
C17,221.5,-97.75,180.0,top
C18,220.05,-80.98,180.0,top
C19,226.8,-98.55,270.0,top
C2,233.7625,-79.5175,270.0,top
C20,220.05,-82.51,180.0,top
C21,229.1,-97.8,180.0,top
C22,215.7,-93.05,270.0,top
C23,214.1375,-93.05,270.0,top
C24,209.55,-92.8,90.0,top
C25,213.6,-78.4,270.0,top
C26,215.2,-78.4,270.0,top
C27,219.8,-78.4,270.0,top
C3,210.26,-99.74,90.0,top
C4,242.75,-76.0,90.0,top
C5,214.72,-98.94,90.0,top
C6,213.17,-101.09,0.0,top
C7,239.3175,-99.98,0.0,top
C8,214.97543,-82.2,90.0,top
C9,215.47543,-87.0,90.0,top
D1,217.1,-114.5,90.0,top
FB1,211.85,-92.85,180.0,top
FB2,217.5,-77.6,0.0,top
J1,201.0,-90.0,90.0,top
J10,215.7,-69.5,0.0,top
J2,201.0,-103.3,90.0,top
J3,235.13,-66.0,0.0,top
J4,201.0,-76.7,90.0,top
J5,249.0,-76.7,270.0,top
J6,249.01,-103.3,270.0,top
J7,211.0,-112.4,90.0,top
J8,239.0,-112.4,90.0,top
J9,248.48,-90.0,0.0,top
Q1,224.3,-104.3125,90.0,top
Q2,232.8,-104.3,90.0,top
Q3,223.025,-112.0,270.0,top
Q4,231.5,-112.0,270.0,top
R1,222.82,-81.59,90.0,top
R10,217.04,-99.298113,90.0,top
R11,216.04,-99.3,270.0,top
R12,206.7,-65.7,0.0,top
R13,206.7,-70.2,0.0,top
R14,224.7,-68.1,180.0,top
R15,224.61,-77.92,0.0,top
R16,223.15,-79.53,180.0,top
R17,224.25,-75.25,270.0,top
R18,206.7,-68.26,0.0,top
R19,224.7,-65.75,180.0,top
R2,226.75,-102.875,90.0,top
R20,243.64,-91.68,90.0,top
R21,224.7,-72.5,180.0,top
R22,224.7,-70.5,180.0,top
R3,235.3,-102.15,90.0,top
R4,226.75,-104.825,270.0,top
R5,235.3,-104.1,270.0,top
R6,221.75,-103.2,90.0,top
R7,230.3,-103.25,90.0,top
R8,221.05,-105.5,180.0,top
R9,229.55,-105.55,180.0,top
U1,212.71,-99.69,0.0,top
U2,238.9,-80.0,180.0,top
U3,231.75,-79.2375,0.0,top
U4,239.48,-97.53,0.0,top
U5,233.75,-97.53,0.0,top
U6,225.0,-90.0,270.0,top
Y1,213.17543,-87.7,270.0,top
Y2,213.37543,-83.4,270.0,top
